Date,DayOfWeek,EmployeeID,Name,Role,HourlyWage,MaxWeeklyHours,HoursAvailable,IsAvailable
2025-06-28 16:38:52.760039,Saturday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-06-29 16:38:52.760039,Sunday,EMP001,Employee 1,cashier,15.820428338635358,40,8,True
2025-06-30 16:38:52.760039,Monday,EMP001,Employee 1,cashier,15.820428338635358,40,8,True
2025-07-01 16:38:52.760039,Tuesday,EMP001,Employee 1,cashier,15.820428338635358,40,6,True
2025-07-02 16:38:52.760039,Wednesday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-07-03 16:38:52.760039,Thursday,EMP001,Employee 1,cashier,15.820428338635358,40,6,True
2025-07-04 16:38:52.760039,Friday,EMP001,Employee 1,cashier,15.820428338635358,40,8,True
2025-07-05 16:38:52.760039,Saturday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-07-06 16:38:52.760039,Sunday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-07-07 16:38:52.760039,Monday,EMP001,Employee 1,cashier,15.820428338635358,40,6,True
2025-07-08 16:38:52.760039,Tuesday,EMP001,Employee 1,cashier,15.820428338635358,40,0,False
2025-07-09 16:38:52.760039,Wednesday,EMP001,Employee 1,cashier,15.820428338635358,40,8,True
2025-07-10 16:38:52.760039,Thursday,EMP001,Employee 1,cashier,15.820428338635358,40,8,True
2025-07-11 16:38:52.760039,Friday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-07-12 16:38:52.760039,Saturday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-07-13 16:38:52.760039,Sunday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-07-14 16:38:52.760039,Monday,EMP001,Employee 1,cashier,15.820428338635358,40,6,True
2025-07-15 16:38:52.760039,Tuesday,EMP001,Employee 1,cashier,15.820428338635358,40,6,True
2025-07-16 16:38:52.760039,Wednesday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
2025-07-17 16:38:52.760039,Thursday,EMP001,Employee 1,cashier,15.820428338635358,40,10,True
